fight_id,P1_id,P2_id,P1_name,P2_name,date,location,rounds_planned,P1_W,P1_L,P1_D,P2_W,P2_L,P2_D,P1_6W,P1_6L,P1_6D,P2_6W,P2_6L,P2_6D,P1_bdate,P1_stance,P1_height,P1_reach,P1_country,P2_bdate,P2_stance,P2_height,P2_reach,P2_country,P1_outcome,rounds_happened,time,referee,judge1,judge2,judge3,judge1_score,judge2_score,judge3_score,comments,P2_outcome,outcome_type,rounds_planned.1,lon,lat
4561,2875,873,Adriano Arreola,Arnel Arrozal,11/7/85,"Olympic Auditorium, Los Angeles, California",10,23,19,3,23,19,3,2,3,1,2,3,1,2/14/62,0,0,0,USA,9/4/57,southpaw,0,0,Philippines,W,10,0,Chuck Hassett,Rudy Jordan,Larry Rozadilla,0,99-93,100-91,0,0,W,UD,10,-118.2436849,34.0522342
6653,5519,2131,Agapito Navarro,Lupe Gutierrez,9/18/93,"Fresno, California",0,26,7,0,26,7,0,2,4,0,2,4,0,,0,0,0,Mexico,12/13/63,orthodox,168,0,USA,L,4,0,0,0,0,0,0,0,0,0,L,KO,0,-119.7725868,36.7468422
6736,7296,767,Agapito Sanchez,Javier Lucas,12/3/99,"Pechanga Entertainment Center, Temecula, California",0,47,13,0,47,13,0,3,3,0,3,3,0,2/14/70,southpaw,162,163,Dominican Republic,11/27/61,southpaw,0,0,Mexico,W,7,0,0,0,0,0,0,0,0,0,W,TKO,0,-117.1483648,33.4936391
16327,5809,657,Agustin Lorenzo,Tom Johnson,4/29/00,Oranjestad,10,47,7,2,47,7,2,2,4,0,2,4,0,12/29/72,orthodox,0,0,Mexico,7/15/64,orthodox,166,177,USA,L,10,0,0,0,0,0,0,0,0,0,L,PTS,10,-70.0086306,12.5092044
16320,5809,468,Agustin Lorenzo,Jorge Paez,7/26/02,"Palace Indian Gaming Center, Lemoore, California",10,72,14,5,72,14,5,5,0,1,5,0,1,12/29/72,orthodox,0,0,Mexico,10/27/65,orthodox,165,173,Mexico,L,3,0:29,Lou Moret,Abe Belardo,Ralph McKnight,Marcos Rosales,0,0,0,Lorenzo down in 1st & 3rd rds.,L,KO,10,-119.7829107,36.3007835
12354,1512,1371,Alberto Almaguer,Gabriel Ruelas,12/9/88,"Caesars Palace, Las Vegas, Nevada",0,5,0,0,5,0,0,5,0,0,5,0,0,6/10/68,0,0,0,USA,7/23/70,orthodox,170,175,Mexico,L,1,0,0,0,0,0,0,0,0,0,L,KO,0,-115.1737189,36.1173213
15123,52843,468,Alberto Castro,Jorge Paez,12/11/92,"Hermosillo, Sonora",0,43,5,4,43,5,4,5,1,0,5,1,0,11/21/65,0,0,0,USA,10/27/65,orthodox,165,173,Mexico,L,2,0,0,0,0,0,0,0,0,0,L,KO,0,-110.9559192,29.0729673
10593,42608,1792,Alejandro Jimenez,Juan Torres,3/26/98,"Oxnard, California",6,8,3,0,8,3,0,3,3,0,3,3,0,2/10/70,orthodox,168,168,Mexico,6/30/68,orthodox,0,0,Mexico,L,6,0,0,0,0,0,0,0,0,0,L,PTS,6,-119.1770516,34.1975048
10567,42608,2148,Alejandro Jimenez,Oba Carr,12/6/01,"Palace Indian Gaming Center, Lemoore, California",10,53,4,1,53,4,1,5,1,0,5,1,0,2/10/70,orthodox,168,168,Mexico,5/11/72,orthodox,176,183,USA,L,10,0,Marcos Rosales,Jack Reiss,Abe Belardo,Dave Nelson,0,0,0,0,L,UD,10,-119.7829107,36.3007835
14348,727,468,Alejandro Mayorga,Jorge Paez,3/1/87,"Mexicali, Baja California",10,12,2,1,12,2,1,5,1,0,5,1,0,,0,0,0,Mexico,10/27/65,orthodox,165,173,Mexico,L,10,0,0,0,0,0,0,0,0,0,L,PTS,10,-115.4522623,32.6245389
